,wavelength,n,k
177,0.508541168,2.309984,1.456723
178,0.510134766,2.311191,1.459652
179,0.511728333,2.312421,1.46258
180,0.513321838,2.313675,1.465506
181,0.514915283,2.314952,1.468431
182,0.516508667,2.316252,1.471352
183,0.518102051,2.317573,1.474271
184,0.519695435,2.318915,1.477186
185,0.521288696,2.320278,1.480097
186,0.522881897,2.321661,1.483003
187,0.524475037,2.323063,1.485904
188,0.526068176,2.324484,1.4888
189,0.527661255,2.325923,1.49169
190,0.529254211,2.327379,1.494573
191,0.530847168,2.328853,1.497451
192,0.532440063,2.330343,1.500321
193,0.534032959,2.331849,1.503185
194,0.535625732,2.333369,1.506042
195,0.537218506,2.334904,1.508891
196,0.538811157,2.336452,1.511734
197,0.540403809,2.338014,1.514569
198,0.541996399,2.339589,1.517398
199,0.543588928,2.341176,1.520219
200,0.545181396,2.342775,1.523034
201,0.546773804,2.344386,1.525842
202,0.54836615,2.346008,1.528643
203,0.549958496,2.347642,1.531437
204,0.55155072,2.349286,1.534225
205,0.553142944,2.350941,1.537005
206,0.554735046,2.352607,1.539778
207,0.556327148,2.354282,1.542545
208,0.557919128,2.355968,1.545304
209,0.559511108,2.357662,1.548057
210,0.561102966,2.359367,1.550802
211,0.562694824,2.36108,1.553541
212,0.564286621,2.362803,1.556273
213,0.565878296,2.364533,1.558997
214,0.567470032,2.366273,1.561714
215,0.569061646,2.368021,1.564425
216,0.570653137,2.369776,1.567128
217,0.572244629,2.371539,1.569824
218,0.57383606,2.373311,1.572513
219,0.575427368,2.375089,1.575194
220,0.577018677,2.376874,1.577869
221,0.578609863,2.378667,1.580536
222,0.58020105,2.380467,1.583196
223,0.581792114,2.382273,1.585849
224,0.583383179,2.384085,1.588495
225,0.584974121,2.385904,1.591133
226,0.586565063,2.387729,1.593764
227,0.588155884,2.38956,1.596388
228,0.589746704,2.391397,1.599004
229,0.591337341,2.393239,1.601614
230,0.592927979,2.395087,1.604216
231,0.594518555,2.39694,1.60681
232,0.59610907,2.398798,1.609398
233,0.597699524,2.400661,1.611978
234,0.599289917,2.402528,1.614551
235,0.600880188,2.404401,1.617116
236,0.602470398,2.406277,1.619674
237,0.604060608,2.408159,1.622225
238,0.605650696,2.410044,1.624769
239,0.607240723,2.411933,1.627306
240,0.608830688,2.413826,1.629835
241,0.610420532,2.415723,1.632356
242,0.612010376,2.417623,1.634871
243,0.613600098,2.419527,1.637378
244,0.615189758,2.421434,1.639878
245,0.616779358,2.423344,1.642371
246,0.618368896,2.425257,1.644857
247,0.619958374,2.427173,1.647335
248,0.621547729,2.429092,1.649806
249,0.623137024,2.431013,1.652271
250,0.624726257,2.432937,1.654728
251,0.62631543,2.434863,1.657178
252,0.62790448,2.436791,1.659621
253,0.62949353,2.438721,1.662057
254,0.631082458,2.440653,1.664485
255,0.632671265,2.442587,1.666908
256,0.634260132,2.444523,1.669323
257,0.635848755,2.44646,1.671731
258,0.637437378,2.448399,1.674132
259,0.639026001,2.450339,1.676527
260,0.640614441,2.452281,1.678915
261,0.64220282,2.454224,1.681296
262,0.643791138,2.456167,1.68367
263,0.645379395,2.458112,1.686038
264,0.64696759,2.460058,1.688399
265,0.648555664,2.462005,1.690753
266,0.650143677,2.463952,1.693101
267,0.651731567,2.4659,1.695443
268,0.653319458,2.467848,1.697777
269,0.654907166,2.469797,1.700105
270,0.656494873,2.471746,1.702427
271,0.658082458,2.473695,1.704743
272,0.659669983,2.475644,1.707051
273,0.661257446,2.477594,1.709354
274,0.662844788,2.479543,1.71165
275,0.664432007,2.481493,1.71394
276,0.666019165,2.483441,1.716224
277,0.667606323,2.48539,1.718501
278,0.669193298,2.487339,1.720773
279,0.670780273,2.489286,1.723038
280,0.672367065,2.491233,1.725297
281,0.673953857,2.49318,1.72755
282,0.675540527,2.495126,1.729796
283,0.677127136,2.497071,1.732037
284,0.678713623,2.499014,1.734272
285,0.680300049,2.500957,1.736501
286,0.681886353,2.502899,1.738724
287,0.683472656,2.50484,1.740942
288,0.685058777,2.506779,1.743153
289,0.686644897,2.508717,1.745359
290,0.688230835,2.510653,1.747559
291,0.689816772,2.512589,1.749753
292,0.691402527,2.514522,1.751942
293,0.69298822,2.516454,1.754125
294,0.694573853,2.518383,1.756302
295,0.696159424,2.520311,1.758475
296,0.697744873,2.522237,1.760641
297,0.6993302,2.524161,1.762802
298,0.700915466,2.526083,1.764958
299,0.70250061,2.528003,1.767109
300,0.704085693,2.52992,1.769254
301,0.705670715,2.531835,1.771394
302,0.707255554,2.533747,1.773529
303,0.708840393,2.535656,1.775659
304,0.71042511,2.537564,1.777784
305,0.712009705,2.539468,1.779904
306,0.713594177,2.541369,1.782019
307,0.715178589,2.543267,1.784129
308,0.716762939,2.545163,1.786234
309,0.718347168,2.547055,1.788335
310,0.719931335,2.548944,1.790431
311,0.721515381,2.550829,1.792523
312,0.723099304,2.552711,1.794609
313,0.724683167,2.554589,1.796692
314,0.726266907,2.556463,1.79877
315,0.727850525,2.558334,1.800844
316,0.729434143,2.5602,1.802914
317,0.731017578,2.562063,1.804979
318,0.732600952,2.563921,1.807041
319,0.734184204,2.565774,1.809099
320,0.735767334,2.567623,1.811153
321,0.737350403,2.569467,1.813204
322,0.73893335,2.571306,1.815251
323,0.740516235,2.573139,1.817296
324,0.742098999,2.574967,1.819339
325,0.743681641,2.57679,1.821379
326,0.745264221,2.578608,1.823418
327,0.746846619,2.580421,1.825455
328,0.748429016,2.582228,1.827491
329,0.75001123,2.584031,1.829525
330,0.751593384,2.585829,1.831559
331,0.753175415,2.587623,1.833592
332,0.754757385,2.589411,1.835625
333,0.756339233,2.591195,1.837657
334,0.757920959,2.592975,1.839689
335,0.759502563,2.594751,1.841722
336,0.761084106,2.596522,1.843754
337,0.762665527,2.598289,1.845786
338,0.764246826,2.600052,1.847819
339,0.765828003,2.601812,1.849852
340,0.767409119,2.603567,1.851886
341,0.768990112,2.60532,1.853921
342,0.770570984,2.607069,1.855957
343,0.772151733,2.608814,1.857993
344,0.773732483,2.610556,1.860031
345,0.775312988,2.612295,1.862069
346,0.776893433,2.614032,1.864109
347,0.778473755,2.615765,1.86615
348,0.780054077,2.617496,1.868193
349,0.781634155,2.619224,1.870236
350,0.783214172,2.62095,1.872281
351,0.784794067,2.622673,1.874328
352,0.786373901,2.624395,1.876376
353,0.787953552,2.626114,1.878426
354,0.789533081,2.627831,1.880477
355,0.79111261,2.629546,1.88253
356,0.792691956,2.63126,1.884585
357,0.794271118,2.632972,1.886641
358,0.795850281,2.634683,1.888699
359,0.797429321,2.636392,1.890759
360,0.799008179,2.6381,1.89282
361,0.800586975,2.639807,1.894884
362,0.802165649,2.641513,1.896949
363,0.803744202,2.643217,1.899016
364,0.805322632,2.644922,1.901084
365,0.80690094,2.646625,1.903155
366,0.808479126,2.648328,1.905227
367,0.810057251,2.65003,1.907302
368,0.811635193,2.651731,1.909377
369,0.813213013,2.653433,1.911455
370,0.814790771,2.655134,1.913535
371,0.816368408,2.656836,1.915616
372,0.817945923,2.658537,1.917699
373,0.819523254,2.660238,1.919784
374,0.821100586,2.66194,1.921871
375,0.822677734,2.663641,1.923959
376,0.8242547,2.665344,1.926049
377,0.825831665,2.667046,1.928141
378,0.827408386,2.668749,1.930235
379,0.828985046,2.670453,1.93233
380,0.830561646,2.672158,1.934427
381,0.832138062,2.673863,1.936525
382,0.833714355,2.675569,1.938625
383,0.835290527,2.677276,1.940726
384,0.836866577,2.678985,1.942829
385,0.838442505,2.680694,1.944933
386,0.840018372,2.682405,1.947039
387,0.841594055,2.684117,1.949146
388,0.843169617,2.68583,1.951255
389,0.844744995,2.687545,1.953365
390,0.846320313,2.689261,1.955476
391,0.847895508,2.690979,1.957588
392,0.849470581,2.692698,1.959702
393,0.851045593,2.694419,1.961817
394,0.852620422,2.696142,1.963933
395,0.854195007,2.697867,1.96605
396,0.855769653,2.699594,1.968168
397,0.857344055,2.701323,1.970287
398,0.858918335,2.703054,1.972407
399,0.860492554,2.704787,1.974528
400,0.862066589,2.706522,1.97665
401,0.863640503,2.70826,1.978772
402,0.865214355,2.71,1.980896
403,0.866787964,2.711742,1.98302
404,0.868361511,2.713486,1.985144
405,0.869934937,2.715233,1.98727
406,0.871508179,2.716983,1.989396
407,0.87308136,2.718735,1.991522
408,0.874654419,2.72049,1.993649
409,0.876227356,2.722248,1.995776
410,0.87780011,2.724009,1.997904
411,0.879372681,2.725772,2.000032
412,0.88094519,2.727538,2.00216
413,0.882517456,2.729307,2.004288
414,0.884089722,2.73108,2.006417
415,0.885661804,2.732855,2.008545
416,0.887233765,2.734633,2.010674
417,0.888805664,2.736415,2.012802
418,0.890377319,2.7382,2.014931
419,0.891948914,2.739988,2.017059
420,0.893520325,2.741779,2.019187
421,0.895091614,2.743574,2.021315
422,0.896662781,2.745373,2.023442
423,0.898233765,2.747174,2.025569
424,0.899804688,2.74898,2.027695
425,0.901375366,2.750789,2.029821
426,0.902945984,2.752602,2.031946
427,0.904516479,2.754418,2.03407
428,0.906086792,2.756239,2.036194
429,0.907656921,2.758063,2.038316
430,0.909227051,2.759892,2.040438
431,0.910796997,2.761725,2.042558
432,0.912366699,2.763561,2.044676
433,0.91393634,2.765402,2.046793
434,0.915505859,2.767247,2.048909
435,0.917075195,2.769097,2.051022
436,0.918644409,2.77095,2.053133
437,0.920213501,2.772807,2.055242
438,0.92178241,2.774668,2.057349
439,0.923351257,2.776533,2.059454
440,0.924919922,2.778402,2.061556
441,0.926488403,2.780275,2.063655
442,0.928056763,2.782152,2.065752
443,0.929625,2.784032,2.067846
444,0.931193054,2.785917,2.069937
445,0.932760925,2.787804,2.072026
446,0.934328796,2.789696,2.074111
447,0.935896362,2.791591,2.076193
448,0.937463867,2.79349,2.078272
449,0.93903125,2.795393,2.080347
450,0.94059845,2.797298,2.082419
451,0.942165527,2.799207,2.084488
452,0.943732422,2.80112,2.086554
453,0.945299194,2.803035,2.088615
454,0.946865845,2.804954,2.090673
455,0.948432312,2.806876,2.092728
456,0.949998657,2.808802,2.094779
457,0.951564819,2.81073,2.096825
458,0.953130859,2.812661,2.098868
459,0.954696777,2.814595,2.100908
460,0.956262512,2.816533,2.102943
461,0.957828125,2.818473,2.104974
462,0.959393555,2.820415,2.107001
463,0.960958801,2.822361,2.109024
464,0.962523926,2.824309,2.111042
465,0.964088989,2.826259,2.113057
466,0.965653809,2.828212,2.115068
467,0.967218445,2.830168,2.117074
468,0.96878302,2.832126,2.119076
469,0.970347351,2.834087,2.121073
470,0.971911621,2.83605,2.123066
471,0.973475708,2.838015,2.125055
472,0.975039551,2.839982,2.127039
473,0.976603333,2.841951,2.129019
474,0.978166992,2.843922,2.130994
475,0.979730347,2.845896,2.132964
476,0.981293762,2.847871,2.134931
477,0.982856812,2.849848,2.136892
478,0.9844198,2.851827,2.138849
479,0.985982727,2.853808,2.140801
480,0.98754541,2.855791,2.142749
481,0.98910791,2.857775,2.144692
482,0.990670288,2.859761,2.14663
483,0.992232544,2.861748,2.148564
484,0.993794556,2.863737,2.150492
485,0.995356445,2.865728,2.152416
486,0.996918152,2.86772,2.154336
487,0.998479797,2.869713,2.15625
488,1.011449524,2.886319,2.171972
489,1.014837524,2.890671,2.176025
490,1.018225952,2.895027,2.180058
491,1.021614868,2.899387,2.184068
492,1.025004272,2.903752,2.188057
493,1.028394165,2.90812,2.192024
494,1.031784424,2.912492,2.195969
495,1.035175293,2.916865,2.199893
496,1.03856665,2.921241,2.203794
497,1.041958252,2.925619,2.207674
498,1.045350586,2.929997,2.211533
499,1.048743286,2.934376,2.215369
500,1.052136475,2.938756,2.219184
501,1.055530029,2.943135,2.222978
502,1.058924194,2.947513,2.22675
503,1.062318848,2.95189,2.230501
504,1.065713867,2.956265,2.23423
505,1.069109497,2.960639,2.237938
506,1.072505493,2.96501,2.241626
507,1.075901978,2.969378,2.245292
508,1.07929895,2.973743,2.248937
509,1.082696411,2.978104,2.252562
510,1.08609436,2.982461,2.256166
511,1.089492676,2.986813,2.25975
512,1.092891602,2.991161,2.263314
513,1.096290894,2.995502,2.266857
514,1.099690674,2.999839,2.270381
515,1.103091064,3.004169,2.273885
516,1.106491821,3.008492,2.27737
517,1.109893066,3.012809,2.280835
518,1.113294678,3.017118,2.284281
519,1.116697021,3.02142,2.287708
520,1.120099609,3.025713,2.291117
521,1.123502686,3.029998,2.294507
522,1.126906372,3.034273,2.297879
523,1.130310425,3.03854,2.301233
524,1.133714966,3.042797,2.304569
525,1.137119995,3.047043,2.307889
526,1.140525513,3.051279,2.31119
527,1.143931396,3.055504,2.314475
528,1.147337891,3.059718,2.317744
529,1.150744873,3.06392,2.320996
530,1.154152222,3.06811,2.324232
531,1.157560059,3.072286,2.327452
532,1.160968506,3.07645,2.330657
533,1.164377197,3.0806,2.333848
534,1.167786499,3.084735,2.337024
535,1.171196289,3.088856,2.340186
536,1.174606567,3.092961,2.343335
537,1.178017212,3.097049,2.346471
538,1.181428467,3.101121,2.349595
539,1.184840088,3.105174,2.352708
540,1.188252197,3.109209,2.355812
541,1.191664795,3.113226,2.358909
542,1.195077881,3.117225,2.361999
543,1.198491455,3.121206,2.365084
544,1.201905518,3.12517,2.368164
545,1.205319946,3.129117,2.371242
546,1.208734863,3.133047,2.374316
547,1.212150269,3.136961,2.377389
548,1.215566162,3.14086,2.380461
549,1.218982666,3.144744,2.383532
550,1.222399536,3.148614,2.386604
551,1.225816772,3.152469,2.389677
552,1.229234619,3.156312,2.39275
553,1.232652954,3.160141,2.395826
554,1.236071655,3.163958,2.398904
555,1.239490845,3.167763,2.401985
556,1.242910522,3.171558,2.405069
557,1.246330811,3.175341,2.408156
558,1.249751343,3.179115,2.411247
559,1.253172485,3.182879,2.414342
560,1.256593994,3.186634,2.417442
561,1.260016113,3.190381,2.420546
562,1.263438721,3.194119,2.423655
563,1.266861572,3.197851,2.426769
564,1.270285156,3.201575,2.429888
565,1.273709106,3.205294,2.433013
566,1.277133545,3.209006,2.436143
567,1.28055835,3.212713,2.439278
568,1.283983765,3.216415,2.44242
569,1.287409668,3.220114,2.445567
570,1.290835938,3.223808,2.44872
571,1.294262695,3.227499,2.451879
572,1.297689941,3.231187,2.455043
573,1.301117676,3.234872,2.458214
574,1.304545898,3.238556,2.461391
575,1.307974609,3.242238,2.464574
576,1.311403687,3.245919,2.467762
577,1.314833374,3.2496,2.470957
578,1.318263428,3.25328,2.474157
